community_id,community_size,dominant_experience_reference,reference_share_junior,reference_share_mid,reference_share_senior,top_title_keywords,rep_job_id_1,rep_text_1,rep_similarity_1,rep_job_id_2,rep_text_2,rep_similarity_2,rep_job_id_3,rep_text_3,rep_similarity_3,rep_job_id_4,rep_text_4,rep_similarity_4,rep_job_id_5,rep_text_5,rep_similarity_5,avg_min_years_extracted,avg_max_years_extracted,avg_has_years_mention,avg_junior_term_count,avg_mid_term_count,avg_senior_term_count,avg_has_leadership_terms,avg_has_ownership_terms,avg_has_strategy_terms,avg_has_support_terms,avg_requires_bachelor,avg_requires_master,avg_requires_phd,avg_requires_certification,avg_mentions_fast_paced,avg_mentions_deadlines,avg_mentions_independent_work,avg_mentions_client_management,avg_entry_barrier_score,avg_semantic_text_word_count
162,60,junior,0.8,0.183,0.017,"technician, facilities, service, physical, therapy, environmental, lab, iii, operator, tech, temp, 2nd",3905256223,certified sterilization technician [SEP] job description job position sterile processing techduration fulltime additional info shift timings morning/evening summary the sterile processing technician 2 performs a variety of duties associated with cleaning sterilization processing organizing and distributing patient equipment instruments supplies and products used in the care and treatment of patients. may serve as a resource to sterile processing technician 1 staff. duties responsible for decontaminating processing and sterilizing instruments supplies and equipment by following established standards/guidelines.prepares rooms and organizes instruments equipment treatment trays and supplies for specified departments.cleans and decontaminates instruments containers and patient equipment using ,0.782,3904939899,environmental technician iii [SEP] job description clean harbors is seeking an environmental technician based in bridgeport nj. this position is responsible for activities at customer sites and helping with onsite projects. this position will require travel to help out with projects in the usa. why work for clean harbors health and safety is our #1 priority and we live it 3-6-5 competitive pay and benefits comprehensive health benefits coverage after 30 days of full-time employment group 401k with company matching component generous paid time off company paid training and tuition reimbursement positive and safe work environments opportunities for growth and development for all the stages of your career. responsibilities responsibilities adheres to and ensures constant compliance with healt,0.7792,3898177243,girmc environmental technician [SEP] general summary provides daily cleaning in patient and assigned facility rooms documents patient s dismissal from rooms collection removal and transport of trash and soiled linen replenishment of supplies and furniture arrangement for meetings. completes work in accordance with department and medical center policies procedures and infection control guidelines. principal job functions commits to the mission vision beliefs and consistently demonstrates our core values. sets up cleans and returns required cleaning cart and equipment. cleans assigned area per facility and department procedures and guidelines. removes trash and soiled linen accesses medication rooms without supervision to perform necessary cleaning. monitors removes and replaces sharps conta,0.7751,3894922715,specimen technician [SEP] job description responsible for general support functions within the specimen processing department.functions performed may include but are not limited to a-station presort pickup and delivery of processed specimens to the laboratory imaging/microfilming centrifugation and aliquoting. all functions must be performed with confidence accuracy and in a timely manner. this position is critical to quality for customer satisfaction. the spt i will be exposed to many different demands made by the customer. majority of spt i work on the nightshift but based on staffing needs weekends holidays on call and overtime availability is a requirement.department is a production environment with emphasis on productivity/quality standards and departmental completion times. works in ,0.7738,3888824256,process technician iii [SEP] are you passionate about maintaining the highest standards of cleanliness and precision in manufacturing processes do you thrive in dynamic environments where your attention to detail and electrical expertise are valued look no further we have the perfect role for you position process technician iii - contamination control electrical specialistlocation fairport ny 14450 united statespay range 22.91/hour- 28.69/hour about the job we re pioneers in the semiconductor industry leading the way with innovative technologies that shape the future. our commitment to excellence drives everything we do and we re looking for talented individuals like you to join our team. role overview as a process technician iii you ll be instrumental in maintaining contamination control ,0.773,5.067,6.467,0.25,2.05,1.65,0.6,0.25,0.517,0.433,0.617,0.133,0.1,0.0,0.617,0.017,0.067,0.267,0.633,2.767,545.917
163,59,mid,0.441,0.525,0.034,"nurse, contract, registered, days, radiology, technician, nights, respiratory, lab, tech, pharmacy, therapist",3904958313,ultrasonographer radiology r - contract - nights [SEP] entrust your career to healthtrust at healthtrust we believe that healthcare is not defined by the four walls in which it is practiced. it s defined by its people. we pride ourselves on crafting opportunities which expand skill sets broaden career horizons provide economic stability and cultivate personal growth. our partnering hospital is seeking a compassionate and skilled healthcare professional for a 13-week assignment. healthtrust offers competitive pay packagesguaranteed hoursweekly direct deposit options401k with company matchearn up to 750 for referralsfree private furnished housing or tax-free subsidy to get started you will need an adventurous spirit and fierce dedicationa degree from an accredited schoolminimum 1-year acute ,0.8375,3904956652,respiratory therapist rt respiratory therapy - contract - days [SEP] entrust your career to healthtrust at healthtrust we believe that healthcare is not defined by the four walls in which it is practiced. it s defined by its people. we pride ourselves on crafting opportunities which expand skill sets broaden career horizons provide economic stability and cultivate personal growth. our partnering hospital is seeking a compassionate and skilled healthcare professional for a 13-week assignment. healthtrust offers competitive pay packagesguaranteed hoursweekly direct deposit options401k with company matchearn up to 750 for referralsfree private furnished housing or tax-free subsidy to get started you will need an adventurous spirit and fierce dedicationa degree from an accredited schoolminimum,0.8372,3904957339,respiratory therapist rt respiratory therapy - contract - days [SEP] entrust your career to healthtrust at healthtrust we believe that healthcare is not defined by the four walls in which it is practiced. it s defined by its people. we pride ourselves on crafting opportunities which expand skill sets broaden career horizons provide economic stability and cultivate personal growth. our partnering hospital is seeking a compassionate and skilled healthcare professional for a 13-week assignment. healthtrust offers competitive pay packagesguaranteed hoursweekly direct deposit options401k with company matchearn up to 750 for referralsfree private furnished housing or tax-free subsidy to get started you will need an adventurous spirit and fierce dedicationa degree from an accredited schoolminimum,0.8372,3904957420,respiratory therapist rt respiratory therapy - contract - days [SEP] entrust your career to healthtrust at healthtrust we believe that healthcare is not defined by the four walls in which it is practiced. it s defined by its people. we pride ourselves on crafting opportunities which expand skill sets broaden career horizons provide economic stability and cultivate personal growth. our partnering hospital is seeking a compassionate and skilled healthcare professional for a 13-week assignment. healthtrust offers competitive pay packagesguaranteed hoursweekly direct deposit options401k with company matchearn up to 750 for referralsfree private furnished housing or tax-free subsidy to get started you will need an adventurous spirit and fierce dedicationa degree from an accredited schoolminimum,0.8372,3904958401,ultrasonographer radiology r - contract - mids [SEP] entrust your career to healthtrust at healthtrust we believe that healthcare is not defined by the four walls in which it is practiced. it s defined by its people. we pride ourselves on crafting opportunities which expand skill sets broaden career horizons provide economic stability and cultivate personal growth. our partnering hospital is seeking a compassionate and skilled healthcare professional for a 13-week assignment. healthtrust offers competitive pay packagesguaranteed hoursweekly direct deposit options401k with company matchearn up to 750 for referralsfree private furnished housing or tax-free subsidy to get started you will need an adventurous spirit and fierce dedicationa degree from an accredited schoolminimum 1-year acute ca,0.8345,2.667,3.0,0.102,2.356,0.864,0.864,0.542,0.203,0.492,0.814,0.102,0.017,0.017,0.576,0.034,0.068,0.102,0.186,2.61,511.559
165,59,junior,0.915,0.068,0.017,"driver, truck, cdl, delivery, class, local, non, installer, shuttle, diesel, mechanic, heavy",3902765160,delivery truck driver - cdl [SEP] job posting ferguson is north america s leading value-added distributor across residential non-residential new construction and repair maintenance and improvement rmi end markets. spanning 34 000 suppliers and more than one million customers we deliver local expertise value-added solutions and the industry s most extensive portfolio of products. from infrastructure plumbing and appliances to hvac fire protection fabrication and more we make our customers complex projects simple successful and sustainable. would you like a truck driving career where you can be home daily with no nights or weekends join our team today schedule monday-friday 8 30 am-4 30 pm the perks of working for ferguson competitive compensationsafe driver incentivehourly bonus potentialbe,0.9201,3904727701,delivery truck driver - cdl [SEP] job posting ferguson is north america s leading value-added distributor across residential non-residential new construction and repair maintenance and improvement rmi end markets. spanning 34 000 suppliers and more than one million customers we deliver local expertise value-added solutions and the industry s most extensive portfolio of products. from infrastructure plumbing and appliances to hvac fire protection fabrication and more we make our customers complex projects simple successful and sustainable. would you like a truck driving career where you can be home daily with no nights or weekends join our team today the perks of working for ferguson competitive compensationsafe driver incentivehourly bonus potentialbenefits medical dental vision disability,0.9178,3904727702,delivery truck driver - cdl [SEP] job posting ferguson is north america s leading value-added distributor across residential non-residential new construction and repair maintenance and improvement rmi end markets. spanning 34 000 suppliers and more than one million customers we deliver local expertise value-added solutions and the industry s most extensive portfolio of products. from infrastructure plumbing and appliances to hvac fire protection fabrication and more we make our customers complex projects simple successful and sustainable. would you like a truck driving career where you can be home daily with no nights or weekends join our team today the perks of working for ferguson competitive compensationsafe driver incentivehourly bonus potentialbenefits medical dental vision disability,0.9178,3902764188,delivery truck driver - cdl b [SEP] job posting ferguson is north america s leading value-added distributor across residential non-residential new construction and repair maintenance and improvement rmi end markets. spanning 34 000 suppliers and more than one million customers we deliver local expertise value-added solutions and the industry s most extensive portfolio of products. from infrastructure plumbing and appliances to hvac fire protection fabrication and more we make our customers complex projects simple successful and sustainable. would you like a truck driving career where you can be home daily with no nights or weekends join our team today the perks of working for ferguson competitive compensationsafe driver incentivehourly bonus potentialbenefits medical dental vision disabili,0.9154,3894268729,delivery truck driver - cdl [SEP] job posting ferguson is north america s leading value-added distributor across residential non-residential new construction and repair maintenance and improvement rmi end markets. spanning 34 000 suppliers and more than one million customers we deliver local expertise value-added solutions and the industry s most extensive portfolio of products. from infrastructure plumbing and appliances to hvac fire protection fabrication and more we make our customers complex projects simple successful and sustainable. would you like a truck driving career where you can be home daily with no nights or weekends join our team today schedule m-f 4am-12pm the perks of working for ferguson competitive compensationsafe driver incentivehourly bonus potentialbenefits medical de,0.9149,2.25,2.75,0.068,0.407,0.831,0.729,0.203,0.322,0.559,0.305,0.017,0.0,0.0,0.576,0.0,0.0,0.153,0.966,2.322,460.034
166,59,mid,0.254,0.729,0.017,"developer, java, engineer, senior, lead, software, salesforce, stack, technical, architect, net, only",3891036756,remote java software engineer [SEP] java developer general duties provide recommendations for architecture design and implementation of new web solutions. maintain existing client websites by utilizing the best practices and latest technology advancements in a cac-enabled environment. translate use case requirements technical specifications and design into code for new or enhancement projects for clients. participate in design code and test inspections throughout life cycle to identify issues/defects participate in other meetings such as those for use case creation. assist with quality assurance testing based on test plans and scripts to ensure high performance and cross-browser compatibility. collaborate with the project manager ux/ui designer and production team to ensure all designs and,0.8223,3904500313,core java developer [SEP] position type full-time -- contractlocation hybrid - pennington njno corp to corp. w2 contractors only please. as a core java developer you will 6+ years of experience as developer in j2ee technologies and framework such as spring jdbc jms soap/rest api etc. for integration. solid experience in logging caching transaction management multi-threading/concurrency performance tuning and monitoring aspects of the applications. a full stack software developer java/spring mvc/angular/node.js/relational db responsible for developing and delivering complex requirements to accomplish business goals. key responsibilities of the role include ensuring that software is developed to meet functional non-functional and compliance requirements. collaborate with other developers on ,0.8201,3904088118,senior servicenow developer [SEP] senior servicenow developerfull time-remote but candidates must be close to office in ridgefield park njsalary 120k-150k depending on experience + benefits bonus overview we are looking for an experienced servicenow developer to work hands on in the servicenow platform working on innovative projects including focused on advancements in custom scoped applications. what will you be doing collaborating closely with a team of professionals within the servicenow development team the servicenow architectutilize your knowledge work projects broadly within itsm and creating custom scoped applications for specific needsassist in gathering requirements and designing servicenow solutions for external customers stakeholders while focusing mainly on hands on technical ,0.7932,3884429793,java technical lead [SEP] job descriptionposition summary the services tech lead will participate in activities that guide the direction development and delivery of software solutions that meet business needs. the services tech lead will complete analysis and design tasks required to deliver critical business solutions. this role will establish estimates and work plans for design development implementation and rollout tasks. the services tech lead will communicate with the appropriate teams to ensure that assignments are delivered with the highest quality and in accordance with standards. this role will be adding functionality to existing applications as well as developing new applications that will monitor freshness delivered by stores. this role will be expected to demonstrate the core v,0.7925,3891060286,lead consultant [SEP] role java production support experience 10-12 years remote job responsibilities support mission-critical financial applications with sensitive personally identifiable information pii data monitor production jobs and ensure their scheduled executioncreate standard operating procedure documentstriage production issues and provide solutions as per standard operating procedure documentsdocument problem solutions in the ticketing tools knowledge basecommunicate appropriately effectively with business technical teamswork well under pressure with a methodical approach to problem solvingprioritize multiple tasks and manage/assign tasks between team membersmonitor application health perform application/service restarts as per standard operating proceduresmonitor edit create sc,0.7866,4.533,5.533,0.508,0.915,2.881,1.102,0.322,0.271,0.271,0.492,0.22,0.102,0.0,0.237,0.017,0.068,0.305,0.678,2.136,364.593
164,59,mid,0.458,0.525,0.017,"nurse, registered, patient, medical, icu, per, diem, clinical, educator, care, technician, days",3902918701,medical practice asst [SEP] about us at cooper university health care our commitment to providing extraordinary health care begins with our team. our extraordinary professionals are continuously discovering clinical innovations and enhanced access to the most up-to-date facilities equipment technologies and research protocols. we have a commitment to its employees by providing competitive rates and compensation a comprehensive employee benefits programs attractive working conditions and the chance to build and explore a career opportunity by offering professional development. discover why cooper university health care is the employer of choice in south jersey. short description a nonexempt position responsible for performing a variety of duties in various ambulatory. settings including pri,0.8691,3895530231,perioperative pct patient care technician [SEP] about us at cooper university health care our commitment to providing extraordinary health care begins with our team. our extraordinary professionals are continuously discovering clinical innovations and enhanced access to the most up-to-date facilities equipment technologies and research protocols. we have a commitment to its employees by providing competitive rates and compensation a comprehensive employee benefits programs attractive working conditions and the chance to build and explore a career opportunity by offering professional development. discover why cooper university health care is the employer of choice in south jersey. short description assists the clinical team in providing indirect patient care plus has non patient care respon,0.8677,3905284781,supervisor patient access [SEP] about us at cooper university health care our commitment to providing extraordinary health care begins with our team. our extraordinary professionals are continuously discovering clinical innovations and enhanced access to the most up-to-date facilities equipment technologies and research protocols. we have a commitment to its employees by providing competitive rates and compensation a comprehensive employee benefits programs attractive working conditions and the chance to build and explore a career opportunity by offering professional development. discover why cooper university health care is the employer of choice in south jersey. short description supervises and supports operations of all patient access functions including but not limited to emergency dep,0.8567,3887701431,patient services rep [SEP] about us at cooper university health care our commitment to providing extraordinary health care begins with our team. our extraordinary professionals are continuously discovering clinical innovations and enhanced access to the most up-to-date facilities equipment technologies and research protocols. we have a commitment to its employees by providing competitive rates and compensation a comprehensive employee benefits programs attractive working conditions and the chance to build and explore a career opportunity by offering professional development. discover why cooper university health care is the employer of choice in south jersey. short description this position has a strong emphasis on customer service to our patients. must ensure quality patient scheduling po,0.8565,3887873233,patient services rep [SEP] about us at cooper university health care our commitment to providing extraordinary health care begins with our team. our extraordinary professionals are continuously discovering clinical innovations and enhanced access to the most up-to-date facilities equipment technologies and research protocols. we have a commitment to its employees by providing competitive rates and compensation a comprehensive employee benefits programs attractive working conditions and the chance to build and explore a career opportunity by offering professional development. discover why cooper university health care is the employer of choice in south jersey. short description this position has a strong emphasis on customer service to our patients. must ensure quality patient scheduling po,0.8565,2.333,2.667,0.153,1.542,0.407,0.492,0.153,0.424,0.322,0.559,0.169,0.068,0.0,0.746,0.017,0.017,0.034,0.271,1.898,423.797
167,59,mid,0.186,0.797,0.017,"attorney, litigation, paralegal, legal, assistant, employment, counsel, estate, specialist, law, labor, senior",3894283766,sr. litigation paralegal [SEP] a law firm is looking for a sr. litigation paralegal to join their team. location open to any ca office including la san francisco and palo alto compensation 100-150k responsibilities perform all elements of litigation case management including file management discovery and trial activities.implement case calendaring system to track filings and appropriately distribute information.utilize existing systems and procedures and/or establish new procedures to facilitate the organization and retrieval of documents by and for the attorneys on the case team.on a case-specific basis coordinate and oversee the tasks of more junior paralegals and other support staff as needed on large litigation matters and/or investigations in all phases of litigation from discovery th,0.8109,3902828771,civil litigation paralegal [SEP] we are excited to represent a legal services firm in denver as they seek a civil litigation paralegal to join their team. the ideal candidate will have a strong background in civil litigation and possess the skills necessary to support attorneys in all aspects of case management and trial preparation. this is a hybrid role with 3 days in the office and 2 days remote responsibilities assist attorneys in all phases of civil litigation including case intake discovery trial preparation and post-trial proceedings.conduct initial client interviews to gather relevant information and documents related to the case.draft and file legal documents pleadings motions and other court filings.manage document production and discovery including drafting and responding to dis,0.8067,3905253490,paralegal ii [SEP] location work is what you do not where you go. for this role we are open to remote work and can hire anywhere in the united states. about the opportunity provides legal and administrative support to internal litigation counsel and other members of the internal legal department. independently resolves routine and complex legal matters under the direct supervision of the paralegal manager and internal litigation counsel. what you ll get to do support internal litigation team in relation to among other things implementing and managing legal/litigation holds undertaking and managing ediscovery litigation management and administrative tasks associated with supporting this area.participate in and manage certain other legal projects under supervision of internal legal counsel a,0.8066,3887838414,paralegal [SEP] ob summary we are seeking a highly organized and detail-oriented paralegal to join our legal team. as a paralegal you will provide crucial support to attorneys and assist in the preparation of legal documents research and case management. the ideal candidate will have strong clerical skills excellent attention to detail and a solid understanding of legal procedures. duties assist attorneys in preparing legal documents such as pleadings contracts and briefs conduct legal research and gather relevant information for cases draft correspondence and communicate with clients witnesses and other parties involved in the legal process organize and maintain case files documents and exhibits review and proofread legal documents for accuracy and completeness assist with document manage,0.8056,3900982140,litigation paralegal [SEP] position commercial litigation paralegal with relativity experience about the job we are currently seeking a highly qualified commercial litigation paralegal with experience in relativity to join a dynamic busy law practice. this role includes assisting a team of attorneys in managing all aspects of litigation and regulatory practice. job responsibilities handle all aspects of document production and review including working with e-discovery vendors.skilled use of relativity for e-discovery document review and production.assist with drafting pleadings discovery and trial documents including letters legal notices affidavits motions appeals and briefs.handle case management tasks including reviewing files organizing documents and calendar management.facilitate the ,0.8052,3.655,4.483,0.492,1.847,1.068,0.407,0.102,0.203,0.271,0.661,0.169,0.085,0.068,0.339,0.034,0.203,0.237,0.864,1.542,345.559
168,58,mid,0.414,0.483,0.103,"manager, store, training, inventory, operations, retail, assistant, control, general, external, trainee, supervisor",3904955209,manager in training [SEP] rocky mountain bu - region 03 - market 03 6095 montana ave el paso texas 79925 availability - shift/days flexible availability minimum qualifications the minimum qualifications for a store manager are high school diploma or ged preferred.experience in retail sales preferred.experience to perform the essential duties responsibilities and working in the conditions described below.ability to supervise and train for the use of equipment tools and materials listed in the customer service representative csr and assistant site manager asm job description.ability to supervise and manage the functions listed in the csr and asm job description.ability to use computer or acquire those skills necessary to use a computer at the site which includes analysis of reports inventory,0.8422,3902951388,external manager in training [SEP] heartland bu - region 02 - market 03 220 s murray rd rantoul illinois 61866 availability - shift/days full time flexible availability minimum qualifications the minimum qualifications for a store manager are high school diploma or ged preferred.experience in retail sales preferred.experience to perform the essential duties responsibilities and working in the conditions described below.ability to supervise and train for the use of equipment tools and materials listed in the customer service representative csr and assistant site manager asm job description.ability to supervise and manage the functions listed in the csr and asm job description.ability to use computer or acquire those skills necessary to use a computer at the site which includes analysis of r,0.8307,3904952346,external manager in training [SEP] heartland bu - region 05 - market 08 460 s mclean blvd elgin illinois 60123 availability - shift/days flexible availability minimum qualifications the minimum qualifications for a store manager are high school diploma or ged preferred.experience in retail sales preferred.experience to perform the essential duties responsibilities and working in the conditions described below.ability to supervise and train for the use of equipment tools and materials listed in the customer service representative csr and assistant site manager asm job description.ability to supervise and manage the functions listed in the csr and asm job description.ability to use computer or acquire those skills necessary to use a computer at the site which includes analysis of reports inv,0.8117,3905302269,external manager in training [SEP] heartland bu - region 05 - market 07 2832 s rte 59 naperville illinois 60564 availability - shift/days flexible availability minimum qualifications the minimum qualifications for a store manager are high school diploma or ged preferred.experience in retail sales preferred.experience to perform the essential duties responsibilities and working in the conditions described below.ability to supervise and train for the use of equipment tools and materials listed in the customer service representative csr and assistant site manager asm job description.ability to supervise and manage the functions listed in the csr and asm job description.ability to use computer or acquire those skills necessary to use a computer at the site which includes analysis of reports in,0.8092,3905304048,assistant manager [SEP] store 4701817 465 s weber rd bolingbrook illinois 60490 availability - shift/days full time flexible availability essential duties and responsibilities function as the manager in charge when site manager is unavailable.responsible for ordering and stocking of vendingeffectively provide training to new hiresable to train on opening/closing checklists and proper loading techniques to teammates.responsible for training fast pass sales techniques to the teamprofessionally responds to voicemails and emails in a timely manner. able to create an effective schedule. complete knowledge of car wash vacuum system operation able to clean the vacuum system pressure washing the system support the site manager during monthly team meetings. assist with on-site supervisor coursessup,0.8043,4.312,4.875,0.276,2.086,2.172,1.5,0.655,0.534,0.466,0.69,0.293,0.069,0.0,0.345,0.017,0.103,0.052,0.845,3.431,612.241
169,57,mid,0.368,0.561,0.07,"restaurant, manager, crewmember, service, food, host, beverage, general, hostess, cook, supervisor, cashier",3905367055,restaurant manager [SEP] job description we are invited. at invited clubs work feels like play as you build relationships with your team and meet members from all different backgrounds. every time you step foot in your club you can create magic moments and enrich lives. we are passionate about bringing people together and bringing out the very best in life. so join us and be a part of a fun fast-paced high-impact group of talented people where you belong. invited reflects our proud history of inclusiveness and captures our welcoming spirit. our unprecedented collection of more than 200 golf and country city and stadium clubs share a common goal- building relationships and enriching lives. the time has come to build on our traditions and write new chapters. we welcome you to join us. invite,0.863,3903816805,restaurant crewmember-am/openers [SEP] now hiring am/openers starting hiring pay range based on location experience qualifications etc. 12+ / hour restaurant crewmembers at raising cane s will wear many hats including a raising cane s hat while working hard and having fun as a critical part of the restaurant team. we are hiring immediately for restaurant crew to work all shifts opening shifts closing shifts and everything in between. whether you have experience as a customer service associate retail team member cashier restaurant server kitchen lead cook prep cook drive thru cashier or any other restaurant or service-oriented role - we have a position for you. we offer competitive pay and benefits for all positions. even if you don t have previous restaurant experience this position is ent,0.8423,3887554590,late night restaurant crewmember [SEP] privacy notice visit to review our candidate privacy notice. starting hiring pay range based on location experience qualifications etc. 20 - 21 / hour restaurant crewmembers at raising cane s will wear many hats including a raising cane s hat while working hard and having fun as a critical part of the restaurant team. we are hiring immediately for restaurant crew to work all shifts opening shifts closing shifts and everything in between. whether you have experience as a customer service associate retail team member cashier restaurant server kitchen lead cook prep cook drive thru cashier or any other restaurant or service-oriented role - we have a position for you. we offer competitive pay and benefits for all positions. even if you don t have previous,0.8395,3887574286,crewmember cook cashier and customer service 7am-4pm [SEP] we are looking for morning openers to work shifts between 7am - 4pm starting hiring pay range based on location experience qualifications etc. 13.50 / hour + 1 / hour late night incentive 10pm close restaurant crewmembers at raising cane s will wear many hats including a raising cane s hat while working hard and having fun as a critical part of the restaurant team. we are hiring immediately for restaurant crew to work all shifts opening shifts closing shifts and everything in between. whether you have experience as a customer service associate retail team member cashier restaurant server kitchen lead cook prep cook drive thru cashier or any other restaurant or service-oriented role - we have a position for you. we offer competitive,0.828,3904700842,restaurant crewmember closing shift 8pm- 2am [SEP] now hiring crewmembers with availability to work closing shifts 8pm-2am starting hiring pay range 12 hour minimum + additional 1/hr premium pay after 10pm restaurant crewmembers at raising cane s will wear many hats including a raising cane s hat while working hard and having fun as a critical part of the restaurant team. we are hiring immediately for restaurant crew to work all shifts opening shifts closing shifts and everything in between. whether you have experience as a customer service associate retail team member cashier restaurant server kitchen lead cook prep cook drive thru cashier or any other restaurant or service-oriented role - we have a position for you. we offer competitive pay and benefits for all positions. even if you don,0.8253,5.25,5.625,0.14,1.246,1.053,2.0,0.684,0.439,0.368,0.544,0.158,0.0,0.0,0.246,0.07,0.053,0.123,0.719,3.105,522.807
170,57,senior,0.07,0.386,0.544,"clinical, director, senior, medical, trial, research, manager, development, affairs, writing, operations, study",3901936809,clinical trial specialist remote [SEP] our client a leader in the pharmaceutical industry is seeking a clinical trial specialist to join their team. the clinical trial specialist cts is responsible for providing logistical support for one or more clinical trial programs. this position will work closely with cross-functional teams to ensure site start-up through close-out activities are conducted in accordance with standard operating procedures sops and applicable regulations governing the conduct of clinical trials. responsibilities actively involved in the performance of study feasibility assessments develop and review study documents e.g. site instructions diaries lab manual pharmacy binder study management plan etc. and clinical site documents e.g. site specific informed consent forms m,0.8231,3903888680,clinical research coordinator [SEP] shift 8am-5pm department oncology location 2401 south 31st street temple 76508 job summary the clinical research coordinator 1 assists various principal investigators pi through delegated authority in conducting clinical trials during all phases of trials including pre-study implementation through study closure per federal state and institutional guidelines. this position will learn to assist principal investigators on more complex studies and seek guidance from more senior roles when needed. essential functions of the role implements various protocols for assigned research projects with appropriate departments throughout the organization by interacting with pis clinical managers and supervisors.creates facilitates and/or executes a variety of different ,0.819,3905839626,senior director global medical affairs attr [SEP] overviewthe medical senior director attr will report into the vp medical affairs attr and will be responsible for building and for developing medical strategies and tactical execution plans for the attr franchise. this position will also involve cultivating kol relationships at a global level. the strategic areas of focus include investigator sponsored studies and collaborative research data analyses and publication and communication and data generation. key responsibilitieslead communicate and execute the development of an integrated medical affairs plan.foster the establishment and maintenance of key external thought leaders through gaining knowledge on their insights and development of scientific/clinical engagement plans.implement strat,0.817,3887845568,clinical research associate cra in-house [SEP] job title clinical research associate cra or senior cra in-house reporting to director clinical line management department r d clinical operations people manager no flsa status exempt location san diego ca schedule hybrid 2-3 days a week out of san diego office position summary the clinical research associate cra supports global and regional clinical trial managers and trial leaders in the planning designing executing monitoring and reporting of clinical trials. the in-house clinical research associate partners with internal and external team members/key stakeholders ensuring alignment of activities with study projects and timelines to include but not limited to essential document collection and review investigative site recruitment feasibilit,0.8148,3904960849,scientific director neuroscience clinical development [SEP] company description abbvie s mission is to discover and deliver innovative medicines and solutions that solve serious health issues today and address the medical challenges of tomorrow. we strive to have a remarkable impact on people s lives across several key therapeutic areas immunology oncology neuroscience and eye care and products and services in our allergan aesthetics portfolio. for more information about abbvie please visit us at follow abbvie on twitter facebook instagram youtube and linkedin. job description primary function in conjunction with clinical leader designs directs plans executes and interprets clinical trials/research and data collection activities. the successful candidate will utilize scientific methods for,0.8075,6.333,7.042,0.421,2.088,2.333,5.0,0.842,0.526,0.684,0.754,0.404,0.316,0.281,0.281,0.0,0.105,0.07,0.333,4.772,591.018
171,56,junior,0.768,0.214,0.018,"assistant, medical, patient, care, coordinator, medicine, office, administrative, corpus, christi, family, receptionist",3901655133,patient services representative [SEP] nature of duties performs a variety of medical office duties ranging from patient check-in/out appointment scheduling managing medical records handling payments and correspondence. qualifications high school diploma knowledge of patient scheduling techniques/insurance billing preferred. good communication and customer service skills. ability to learn computerized medical office work. specific duties answers phone calls schedules appointments checks patients in and out calls patients on recall list to make appointments and follows up with no-show appointments and corresponds with patients about appointments.greets patients or customers in a friendly professional manner. obtains and completes registration for patients.confirms daily schedules with physic,0.8347,3902918036,medical office assistant administrative senior [SEP] description become part of an inclusive organization with over 40 000 diverse employees whose mission is to improve the health and well-being of the unique communities we serve. summary coordinates check in and check out procedures processes financial information files answers phones and performs other administrative duties as assigned. provides direct supervision and support for administrative office assistants and clinical office assistants. responsibilities maintains compliance with organizational policies and procedures. ensures compliance with revenue cycle and financial audit requirements. demonstrates effective computer skills files answers phones in a timely and professional manner providing complete and accurate information and ,0.8246,3905367552,medical assistant [SEP] work location 5740 north graham street charlotte nc 28269 job summary core to the archwell health approach is to have a robust clinical care team focused on the needs of our members. care teams are responsible for delivering excellent and compassionate primary care and coordinating the care of our members with the broader healthcare delivery system. the medical assistant ma is a critical role to support the pcp day-to-day and ensure efficiency in the care provided to patients. mas will work closely and collaboratively with their teammates to greet and room archwell health members. s/he will be expected to assist in assessing patient s health conditions including performing routine diagnostic testing during appointments. duties/responsibilities conduct intake with pa,0.8162,3905368399,medical assistant [SEP] work location 11605 east 23rd street south independence mo 64050 job summary core to the archwell health approach is to have a robust clinical care team focused on the needs of our members. care teams are responsible for delivering excellent and compassionate primary care and coordinating the care of our members with the broader healthcare delivery system. the medical assistant ma is a critical role to support the pcp day-to-day and ensure efficiency in the care provided to patients. mas will work closely and collaboratively with their teammates to greet and room archwell health members. s/he will be expected to assist in assessing patient s health conditions including performing routine diagnostic testing during appointments. duties/responsibilities conduct intake ,0.8159,3905846010,medical assistant supervisor [SEP] onpoint medical group is searching for an outstanding medical assistant supervisor to join our team at burrows internal medicine come join a great group of medical professionals as our network continues to grow onpoint medical group is a physician-led network of skilled primary and urgent care providers who are committed to expanding access to quality healthcare in the most effective and affordable manner possible.our circle of care has one primary goal to ensure the health and wellness of members and their families. we do this by providing access to a comprehensive menu of medical services from one unified physician group in their neighborhoods. with doctors nurses specialists labs and medical records all interlinked and coordinated patient care has neve,0.8124,6.0,6.75,0.214,2.875,1.75,0.464,0.214,0.554,0.357,0.839,0.089,0.125,0.018,0.554,0.036,0.071,0.179,0.625,2.571,554.607
